,Ville,Région,Hopital,lattitude,longitude
0,Amiens,Hauts-de-France,Abbeville,50.106084,1.833703
1,Amiens,Hauts-de-France,CHU Amiens-Picardie,49.8724803,2.2536568
2,Amiens,Hauts-de-France,Amiens CHAM,49.894067,2.295753
3,Amiens,Hauts-de-France,Beauvais,49.42953869999999,2.0807123
4,Amiens,Hauts-de-France,Clermont,49.37677750116383, 2.414224151543938
5,Amiens,Hauts-de-France,Compiègne,49.41781599999999,2.826145
6,Amiens,Hauts-de-France,Corbie,49.907676,2.511947
7,Amiens,Hauts-de-France,Creil,49.2576872,2.4783913
8,Amiens,Hauts-de-France,Doullins,50.157413,2.341069
9,Amiens,Hauts-de-France,Montdidier,49.647007,2.566932
10,Amiens,Hauts-de-France,Sophrologie Dinan,48.454366,-2.047327
11,Amiens,Hauts-de-France,Senils,49.205164,2.583212
12,Amiens,Hauts-de-France,Saint-Quentin,49.847066,3.2874
13,Angers,Pays de la Loire,Angers CHU,47.4809661,-0.5546124
14,Angers,Pays de la Loire,Angers CLCC ICO Paul Papin,47.48377230000001,-0.5551655999999999
15,Angers,Pays de la Loire,Château Gontier,47.8267669,-0.7069
16,Angers,Pays de la Loire,Cholet,47.059407,-0.879787
17,Angers,Pays de la Loire,Laval,48.06385363198877, -0.7839620729034121
18,Angers,Pays de la Loire,Le Mans,48.00611000000001,0.199556
19,Angers,Pays de la Loire,Saumur,47.260135,-0.08089299999999999
20,Besançon,Bourgogne-Franche Comté,Besançon CHU Minjoz,47.22504869999999,5.962735899999999
21,Besançon,Bourgogne-Franche Comté,Besançon Saint Jacques,47.2337301,6.0196449
22,Besançon,Bourgogne-Franche Comté,Centre Hospitalier Général Louis Pasteur,47.0836335,5.4726082
23,Besançon,Bourgogne-Franche Comté,Lons Le Saunier,46.671361,5.550796
24,Besançon,Bourgogne-Franche Comté,Pontarlier,46.9041039,6.354241999999999
25,Besançon,Bourgogne-Franche Comté,Trévenans,47.566574,6.86816
26,Besançon,Bourgogne-Franche Comté,Vesoul,47.61978800000001,6.15428
27,Brest,Bretagne,Brest CHU la Cavale Blanche,48.402019,-4.5284184
28,Brest,Bretagne,Brest Morvan,48.390394,-4.486076
29,Brest,Bretagne,Brest Bohars,48.429264,-4.514481
30,Brest,Bretagne,Carhaix,48.27558399999999,-3.574188
31,Brest,Bretagne,Landerneau,48.450821,-4.248437
32,Brest,Bretagne,Lannion,48.732084,-3.459144
33,Brest,Bretagne,Morlaix,48.577613,-3.828228
34,Brest,Bretagne,Quimper,47.997542,-4.097899
35,Caen,Normandie,Alençon,48.432856,0.091266
36,Caen,Normandie,Alençon-Mamers,48.432856,0.091266
37,Caen,Normandie,Argentan,48.744001,-0.016566
38,Caen,Normandie,Bayeux,49.27643699999999,-0.70314
39,Caen,Normandie,Caen,49.182863,-0.370679
40,Caen,Normandie,Cherbourg,49.6338979,-1.622224
41,Caen,Normandie,la Côte Fleurie,49.3215322,0.0026356
42,Caen,Normandie,Falaise,48.893548,-0.201956
43,Caen,Normandie,Flers,48.750059,-0.5757940000000001
44,Caen,Normandie,Granville,48.837579,-1.597302
45,Caen,Normandie,Picauville,49.379026,-1.399977
46,Caen,Normandie,Pontorson,48.553872,-1.509877
47,Caen,Normandie,Saint-Lô,49.1154686,-1.0828136
48,Caen,Normandie,Vire,48.837781,-0.888482
49,Cayenne,Guyane / Antilles-Guyane,CH de Cayenne,4.9237913,-52.3205637
50,Cayenne,Guyane / Antilles-Guyane,Saint-Laurent-du-Maroni,5.483880399999999,-54.0248906
